Year,ID,Head_Age,Head_Age_,Head_Sex,Head_Education_Level,Head_Activity_Status,Head_Marital_Status,Household_Size,Aid_Income_Share,Labor_Income_Share,Pension_Income_Share,Capital_Income_Share,Imputed_Rent_Share,Other_NonCash_Income_Share,Household_Weight,Net_Expenditure,OECD_Modified,Dependency_Ratio_Age,Dependency_Ratio_Employment,Tenure_Type,Urban_Rural
1401,22301631626,20-30,25,Male,Under_Diploma,Employed,Married,3,0.0,0.65,0.0,0.0,0.35,0.0,336.06988048299195,502160000.0,1.8,0.5,2.0,Owner,Rural
1401,22301631630,40-50,47,Male,Under_Diploma,Employed,Married,4,0.05,0.78,0.0,0.0,0.16,0.0,336.06988048299195,804680000.0,2.3,0.33,3.0,Tenant,Rural
1401,22301631632,50-60,54,Male,Under_Diploma,Income_without_Work,Married,4,0.01,0.0,0.73,0.0,0.26,0.0,336.06988048299195,1620224000.0,2.5,0.0,4.0,Owner,Rural
1401,22301631635,30-40,36,Male,Diploma,Employed,Married,4,0.03,0.81,0.0,0.0,0.17,0.0,336.06988048299195,1085292000.0,2.1,1.0,3.0,Owner,Rural
1401,22301631638,30-40,33,Male,Under_Diploma,Employed,Married,4,0.03,0.66,0.0,0.0,0.31,0.0,336.06988048299195,1126890000.0,2.1,1.0,3.0,,Rural
1401,22301631641,40-50,45,Male,Diploma,Employed,Married,5,0.11,0.66,0.0,0.0,0.23,0.0,336.06988048299195,1505560000.0,2.8,0.67,4.0,,Rural
1401,22302632027,Above 70,76,Male,Bachelor,Income_without_Work,Married,3,0.0,0.0,0.82,0.0,0.18,0.0,600.8060634630353,947440000.0,1.8,3.0,3.0,Owner,Rural
1401,22302632030,50-60,55,Male,Illiterate,Employed,Married,2,0.0,0.77,0.0,0.0,0.0,0.23,600.8060634630353,531400000.0,1.5,0.0,1.0,Other,Rural
1401,22302632032,60-70,64,Female,Under_Diploma,Housekeeper,Widowed,1,0.51,0.0,0.0,0.0,0.49,0.0,600.8060634630353,585064000.0,1.0,0.0,1.0,Owner,Rural
1401,22302632041,60-70,61,Male,Diploma,Income_without_Work,Married,3,0.01,0.0,0.0,0.66,0.33,0.0,600.8060634630353,1056360000.0,2.0,0.0,3.0,Owner,Rural
1401,22303632525,40-50,48,Male,Under_Diploma,Employed,Married,4,0.17,0.67,0.0,0.0,0.0,0.16,736.1263547935351,1208580000.0,2.3,0.33,1.0,Other,Rural
1401,22303632530,40-50,45,Male,Under_Diploma,Employed,Married,6,0.0,0.93,0.0,0.0,0.07,0.0,736.1263547935351,1075736000.0,2.7,2.0,5.0,Tenant,Rural
1401,22303632531,50-60,50,Male,Illiterate,Employed,Married,7,0.0,0.83,0.0,0.0,0.17,0.0,736.1263547935351,1224445200.0,3.4,0.75,2.5,Owner,Rural
1401,22303632536,Above 70,79,Male,Illiterate,Employed,Married,1,0.0,0.91,0.0,0.0,0.09,0.0,736.1263547935351,534336800.0,1.0,1.0,0.0,Owner,Rural
1401,22303632538,50-60,58,Male,Under_Diploma,Employed,Married,7,0.0,0.85,0.0,0.0,0.15,0.0,736.1263547935351,2071556800.0,3.4,0.75,2.5,Owner,Rural
1401,22303632541,20-30,24,Male,Illiterate,Employed,Married,3,0.0,0.91,0.0,0.0,0.09,0.0,736.1263547935351,781080000.0,1.8,0.5,2.0,Tenant,Rural
1401,22303632925,30-40,35,Male,Diploma,Employed,Married,3,0.01,0.75,0.0,0.0,0.07,0.17,736.1263547935351,915166000.0,1.8,0.5,2.0,Tenant,Rural
1401,22303632929,50-60,52,Female,Diploma,Employed,Divorced,4,0.05,0.56,0.0,0.0,0.38,0.0,736.1263547935351,844120880.0,2.5,0.33,1.0,Owner,Rural
1401,22303632931,30-40,36,Male,Under_Diploma,Employed,Married,4,0.03,0.63,0.0,0.0,0.35,0.0,736.1263547935351,2400640000.0,2.1,1.0,3.0,Tenant,Rural
1401,22303632936,50-60,52,Male,Diploma,Employed,Married,4,0.02,0.86,0.03,0.0,0.08,0.0,736.1263547935351,886956000.0,2.5,0.0,1.0,Tenant,Rural
1401,22303632938,30-40,33,Male,Diploma,Employed,Married,3,0.15,0.55,0.0,0.0,0.3,0.0,736.1263547935351,2155323200.0,1.8,0.5,2.0,Owner,Rural
1401,22303632941,60-70,61,Male,Under_Diploma,Employed,Married,4,0.03,0.06,0.5,0.0,0.34,0.06,736.1263547935351,1030100000.0,2.5,0.0,3.0,Owner,Rural
1401,22303633325,20-30,28,Male,Bachelor,Employed,Married,3,0.03,0.87,0.0,0.0,0.11,0.0,736.1263547935351,858187600.0,1.8,0.5,2.0,Tenant,Rural
1401,22303633329,30-40,37,Male,Under_Diploma,Employed,Married,4,0.0,0.77,0.0,0.0,0.23,0.0,736.1263547935351,548356000.0,2.1,1.0,3.0,Owner,Rural
1401,22303633331,30-40,37,Male,Under_Diploma,Employed,Married,3,0.03,0.57,0.0,0.0,0.28,0.13,736.1263547935351,958556400.0,1.8,0.5,2.0,Tenant,Rural
1401,22303633335,20-30,28,Male,Bachelor,Employed,Married,2,0.0,0.72,0.0,0.0,0.22,0.07,736.1263547935351,1814212000.0,1.5,0.0,0.0,Owner,Rural
1401,22303633338,40-50,49,Male,Bachelor,Employed,Married,4,0.26,0.43,0.0,0.03,0.28,0.0,736.1263547935351,3130420412.0,2.5,0.0,1.0,Owner,Rural
1401,22303633341,30-40,37,Male,Under_Diploma,Employed,Married,4,0.03,0.66,0.0,0.0,0.17,0.15,736.1263547935351,1361334800.0,2.1,1.0,3.0,Owner,Rural
1401,22306633725,40-50,41,Female,Illiterate,Employed,Married,5,0.0,0.87,0.0,0.0,0.13,0.0,448.3603413837007,638700000.0,2.6,0.67,0.67,Owner,Rural
1401,22306633730,Above 70,70,Male,Under_Diploma,Employed,Married,3,0.1,0.62,0.0,0.0,0.16,0.11,448.3603413837007,787680000.0,2.0,2.0,0.5,Owner,Rural
1401,22306633731,Above 70,80,Male,Illiterate,Income_without_Work,Married,2,0.05,0.0,0.0,0.42,0.53,0.0,448.3603413837007,590780000.0,1.5,2.0,2.0,Owner,Rural
1401,22306633734,60-70,65,Female,Illiterate,Housekeeper,Widowed,1,0.51,0.0,0.0,0.0,0.49,0.0,448.3603413837007,440396000.0,1.0,1.0,1.0,Owner,Rural
1401,22306633738,Above 70,80,Male,Illiterate,Other,Married,4,0.07,0.67,0.0,0.0,0.27,0.0,448.3603413837007,619460000.0,2.5,1.0,1.0,Owner,Rural
1401,22306633741,40-50,46,Male,Illiterate,Employed,Married,Above 7,0.0,0.91,0.0,0.0,0.09,0.0,448.3603413837007,671389000.0,3.9,0.6,3.0,Owner,Rural
1401,22306634127,60-70,67,Female,Illiterate,Housekeeper,Widowed,1,0.09,0.0,0.0,0.0,0.91,0.0,448.3603413837007,354430000.0,1.0,1.0,1.0,Owner,Rural
1401,22306634129,30-40,39,Male,Under_Diploma,Employed,Married,6,0.0,0.9,0.0,0.0,0.1,0.0,448.3603413837007,626620000.0,2.7,2.0,5.0,Tenant,Rural
1401,22306634133,50-60,50,Male,Under_Diploma,Income_without_Work,Divorced,3,0.02,0.35,0.35,0.0,0.2,0.07,448.3603413837007,856340000.0,2.0,0.0,2.0,Owner,Rural
1401,22306634136,50-60,53,Male,Illiterate,Income_without_Work,Married,4,0.04,0.08,0.61,0.0,0.27,0.0,448.3603413837007,672840000.0,2.5,0.0,3.0,Owner,Rural
1401,22306634138,Above 70,80,Female,Illiterate,Housekeeper,Widowed,1,0.44,0.0,0.0,0.0,0.56,0.0,448.3603413837007,396260000.0,1.0,1.0,1.0,Owner,Rural
1401,22306634141,40-50,41,Male,Under_Diploma,Employed,Married,4,0.05,0.72,0.0,0.0,0.23,0.0,448.3603413837007,778645000.0,2.3,1.0,3.0,Owner,Rural
1401,22309634930,30-40,34,Male,Diploma,Employed,Married,3,0.03,0.77,0.0,0.0,0.19,0.0,671.5306192794419,670260000.0,1.8,0.5,2.0,Owner,Rural
1401,22309634933,30-40,38,Male,Diploma,Employed,Married,3,0.04,0.85,0.0,0.0,0.06,0.05,671.5306192794419,876740000.0,1.8,0.5,2.0,Tenant,Rural
