Year,ID,Head_Age,Head_Age_,Head_Sex,Head_Education_Level,Head_Activity_Status,Head_Marital_Status,Household_Size,Aid_Income_Share,Labor_Income_Share,Pension_Income_Share,Capital_Income_Share,Imputed_Rent_Share,Other_NonCash_Income_Share,Household_Weight,Net_Expenditure,OECD_Modified,Dependency_Ratio_Age,Dependency_Ratio_Employment,Tenure_Type,Urban_Rural
1399,22312636523,40-50,49,Male,Under_Diploma,Income_without_Work,Married,4,0.16,0.53,0.0,0.0,0.32,0.0,398.8442450560904,214130400.0,2.1,1.0,4.0,Owner,Rural
1399,22303632920,60-70,60,Female,Illiterate,Income_without_Work,Married,1,0.51,0.0,0.0,0.0,0.49,0.0,747.2701947525132,354354000.0,1.0,0.0,1.0,Owner,Rural
1399,22303632923,60-70,66,Male,Under_Diploma,Income_without_Work,Married,5,0.06,0.26,0.35,0.0,0.33,0.0,747.2701947525132,476540400.0,3.0,0.67,4.0,Owner,Rural
1399,22303632918,40-50,43,Male,Under_Diploma,Employed,Married,3,0.56,0.37,0.0,0.0,0.07,0.0,747.2701947525132,153701200.0,2.0,0.0,2.0,Tenant,Rural
1399,22303632915,Above 70,80,Male,Illiterate,Income_without_Work,Married,2,0.04,0.0,0.53,0.0,0.43,0.0,747.2701947525132,318036800.0,1.5,2.0,2.0,Owner,Rural
1399,22303632926,30-40,34,Male,Diploma,Employed,Married,3,0.04,0.77,0.0,0.0,0.19,0.0,747.2701947525132,392678000.0,1.8,0.5,2.0,Tenant,Rural
1399,22303632929,40-50,49,Female,Diploma,Income_without_Work,Divorced,4,0.5,0.0,0.5,0.0,0.0,0.0,747.2701947525132,296118200.0,2.5,0.33,4.0,Other,Rural
1399,22313636914,50-60,51,Male,Bachelor,Employed,Married,4,0.15,0.59,0.0,0.0,0.25,0.0,526.015512910572,483388000.0,2.5,0.0,3.0,Owner,Rural
1399,22303632514,50-60,54,Male,Under_Diploma,Employed,Married,4,0.06,0.83,0.0,0.0,0.11,0.0,747.2701947525132,275840000.0,2.5,0.0,0.33,Owner,Rural
1399,22303632516,40-50,44,Male,Illiterate,Employed,Married,5,0.0,0.7,0.0,0.0,0.3,0.0,747.2701947525132,310530000.0,2.4,1.5,4.0,Owner,Rural
